t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
759	0	53.000004	51.000004	52.000004	45.000004	36.93973	38.309002	3052000	3782000	5471000	1853000	999000	7465044
764	0	43.000004	42.000004	43.000004	45.000004	36.939304	39.012	3052000	3782000	5471000	1853000	999000	7414696
769	0	44.000004	43.000004	44.000004	45.000004	36.872692	39.453003	3052000	3782000	5471000	1853000	999000	7270232
774	0	50.000004	47.000004	47.000004	48.000004	36.808743	40.47	3052000	3782000	5471000	1853000	999000	7079064
780	0	49.000004	47.000004	47.000004	47.000004	36.61818	41.663002	3052000	3782000	5471000	1853000	999000	7054460
785	0	52.000004	48.000004	48.000004	48.000004	36.503838	42.45	3052000	3782000	5471000	1853000	999000	7088112
790	0	62.000004	53.000004	52.000004	52.000004	36.443058	43.222004	3052000	3782000	5471000	1853000	999000	6863692
796	0	65.0	56.000004	54.000004	53.000004	36.423843	43.840004	3052000	3782000	5471000	1853000	999000	6172796
801	0	64.0	55.000004	54.000004	54.000004	36.490974	44.446003	3052000	3782000	5471000	1853000	999000	5443152
806	0	66.0	56.000004	54.000004	54.000004	36.55542	44.888	3052000	3782000	5471000	1853000	999000	4823616
812	0	62.000004	58.000004	59.000004	55.000004	36.72628	45.179	3052000	3782000	5471000	1853000	999000	4266784
817	0	60.000004	56.000004	56.000004	53.000004	36.890305	45.390003	3052000	3782000	5471000	1853000	999000	3806528
822	0	59.000004	56.000004	56.000004	53.000004	37.076653	45.345	3052000	3782000	5471000	1853000	999000	3494580
827	0	60.000004	58.000004	58.000004	54.000004	37.25555	45.350002	3052000	3782000	5471000	1853000	999000	3145088
833	0	72.0	59.000004	56.000004	55.000004	37.458965	45.395	3052000	3782000	5471000	1853000	999000	2887916
838	0	61.000004	55.000004	55.000004	54.000004	37.654247	45.79	3052000	3398000	3798000	1853000	999000	2491520
843	0	68.0	57.000004	55.000004	55.000004	37.80097	45.795002	3052000	3782000	5471000	1853000	999000	1965916
849	0	71.0	60.000004	59.000004	57.000004	37.888996	46.529003	3052000	3782000	5471000	1853000	999000	1422604
854	0	81.00001	83.00001	87.00001	76.0	38.035854	48.56	3052000	3398000	3798000	1853000	999000	2181308
859	0	83.00001	78.0	90.00001	75.0	38.16172	51.927002	3052000	3168000	3424000	1853000	999000	2951948
865	0	85.00001	80.0	92.00001	76.0	38.217415	53.665	2937000	3168000	3277000	1561000	867000	3143440
870	0	81.00001	77.0	88.00001	75.0	38.551617	55.334003	2841000	2937000	2770000	1345000	609000	3143600
875	0	78.0	75.0	84.00001	73.0	38.840366	55.906002	2688000	2707000	2396000	1198000	609000	3177616
881	1	76.0	74.0	81.00001	72.0	39.479183	55.893	2534000	2707000	2303000	963000	489000	3147392
886	1	76.0	72.0	81.00001	71.0	39.994408	55.768	2534000	2707000	2303000	963000	489000	3124196
891	1	72.0	69.0	75.0	68.0	40.217304	55.361004	2400000	2592000	2008000	833000	403000	3125496
897	1	73.0	71.0	74.0	66.0	40.65089	54.615	2284000	2457000	1816000	740000	369000	3101240
902	1	68.0	66.0	69.0	64.0	40.853966	53.856003	2188000	2342000	1655000	647000	403000	3108800
