t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
1094	0	85.00001	84.00001	88.00001	73.0	37.86562	47.926003	3052000	3398000	3798000	1853000	999000	1638068
1099	0	85.00001	85.00001	90.00001	78.0	37.9474	51.100002	3052000	3398000	3798000	1853000	999000	2475556
1104	0	85.00001	84.00001	90.00001	78.0	38.078506	53.500004	3052000	3168000	3424000	1853000	999000	3077512
1110	0	85.00001	85.00001	90.00001	77.0	38.20437	55.827003	2937000	3168000	3277000	1561000	867000	3042536
1115	0	85.00001	86.00001	91.00001	77.0	38.78039	56.892002	2841000	2937000	2770000	1345000	609000	3049120
1120	0	82.00001	82.00001	87.00001	76.0	39.324253	57.583004	2688000	2707000	2396000	1198000	489000	3063360
1126	0	82.00001	83.00001	87.00001	75.0	39.572807	57.781002	2688000	2707000	2396000	1198000	489000	3055780
1131	1	80.0	79.0	83.00001	74.0	40.359253	57.774002	2534000	2707000	2303000	963000	403000	2996164
1137	1	76.0	76.0	79.0	72.0	40.72798	57.416004	2400000	2592000	2008000	833000	369000	2972732
1142	1	73.0	72.0	75.0	69.0	40.9443	56.652004	2284000	2457000	1816000	740000	318000	2997300
1147	1	73.0	72.0	75.0	68.0	41.046402	56.06	2284000	2457000	1816000	740000	318000	3118544
1153	1	69.0	68.0	70.0	65.0	41.159733	55.055004	2188000	2342000	1655000	647000	279000	3124092
1158	1	66.0	65.0	68.0	64.0	41.209724	53.971	2092000	2208000	1462000	585000	279000	3101412
1164	1	63.000004	63.000004	65.0	61.000004	41.181896	53.258003	1862000	2208000	1462000	480000	279000	3089468
1169	1	62.000004	62.000004	64.0	61.000004	41.079105	51.894	1785000	2208000	1462000	388000	318000	3095728
1175	1	61.000004	62.000004	63.000004	60.000004	41.027443	51.014004	1785000	2208000	1462000	388000	318000	3098124
1180	1	61.000004	60.000004	62.000004	59.000004	40.930004	50.237003	1785000	2208000	1462000	388000	369000	3068464
1186	1	60.000004	60.000004	62.000004	59.000004	40.836464	49.763	1785000	2208000	1462000	388000	403000	3060568
1191	1	61.000004	60.000004	62.000004	60.000004	40.6952	49.488003	1785000	2208000	1462000	388000	403000	3044164
1196	1	60.000004	60.000004	62.000004	59.000004	40.542267	49.316	1785000	2208000	1462000	388000	403000	3036408
1202	1	60.000004	60.000004	62.000004	59.000004	40.450504	49.135002	1785000	2208000	1462000	388000	489000	3106740
1207	1	60.000004	61.000004	63.000004	60.000004	40.30751	49.012	1785000	2208000	1462000	388000	489000	3084552
1212	1	60.000004	60.000004	62.000004	58.000004	40.23127	48.955	1785000	2208000	1462000	388000	609000	3078172
1218	1	60.000004	60.000004	62.000004	59.000004	40.18897	48.908	1785000	2208000	1462000	388000	609000	3062884
1223	1	60.000004	60.000004	62.000004	59.000004	40.169968	48.896004	1785000	2208000	1462000	388000	609000	3062248
1229	1	60.000004	60.000004	61.000004	58.000004	40.15173	48.843002	1785000	2208000	1462000	388000	609000	3058012
1234	1	61.000004	60.000004	62.000004	58.000004	40.144794	48.800003	1785000	2208000	1462000	388000	609000	3063004
1240	1	60.000004	61.000004	62.000004	59.000004	40.121147	48.775	1785000	2208000	1462000	388000	609000	3062968
1245	1	61.000004	60.000004	62.000004	58.000004	40.109455	48.773003	1785000	2208000	1462000	388000	609000	3062720
1251	1	61.000004	60.000004	62.000004	59.000004	40.116405	48.765003	1785000	2208000	1462000	388000	867000	3063388
1256	1	61.000004	60.000004	62.000004	59.000004	40.12308	48.755	1785000	2208000	1462000	388000	867000	3080964
1262	1	60.000004	60.000004	62.000004	59.000004	40.115025	48.730003	1785000	2208000	1462000	388000	867000	3079128
1267	1	60.000004	60.000004	62.000004	59.000004	40.107677	48.710003	1785000	2208000	1462000	388000	867000	3072456
1272	1	61.000004	60.000004	62.000004	58.000004	40.103268	48.685	1785000	2208000	1462000	388000	999000	3073420
1278	1	60.000004	59.000004	61.000004	58.000004	40.126415	48.685	1785000	2208000	1462000	388000	999000	3066844
1283	1	60.000004	60.000004	62.000004	58.000004	40.14864	48.625004	1785000	2208000	1462000	388000	999000	3073216
1289	1	60.000004	60.000004	62.000004	58.000004	40.146305	48.58	1785000	2208000	1462000	388000	999000	3068272
1294	1	60.000004	60.000004	61.000004	59.000004	40.13993	48.568	1785000	2208000	1462000	388000	999000	3065576
